place of birth,age group,gender,year,province of residence,concept,value
another county in the same province,65-69,male,2001,Lugo,population,2766
another county in the same province,65-69,male,2001,Ourense,population,3211
another county in the same province,65-69,male,2001,Pontevedra,population,4215
another county in the same province,65-69,male,2011,total,population,20966
another county in the same province,65-69,male,2011,A Coruña,population,10168
another county in the same province,65-69,male,2011,Lugo,population,2530
another county in the same province,65-69,male,2011,Ourense,population,3200
another county in the same province,65-69,male,2011,Pontevedra,population,5068
another county in the same province,65-69,female,2001,total,population,22456
another county in the same province,65-69,female,2001,A Coruña,population,10853
another county in the same province,65-69,female,2001,Lugo,population,3571
another county in the same province,65-69,female,2001,Ourense,population,3564
another county in the same province,65-69,female,2001,Pontevedra,population,4468
another county in the same province,65-69,female,2011,total,population,23286
another county in the same province,65-69,female,2011,A Coruña,population,11474
another county in the same province,65-69,female,2011,Lugo,population,3068
another county in the same province,65-69,female,2011,Ourense,population,3529
another county in the same province,65-69,female,2011,Pontevedra,population,5216
another county in the same province,70-74,total,2001,total,population,33087
another county in the same province,70-74,total,2001,A Coruña,population,15658
another county in the same province,70-74,total,2001,Lugo,population,5560
another county in the same province,70-74,total,2001,Ourense,population,5431
another county in the same province,70-74,total,2001,Pontevedra,population,6438
another county in the same province,70-74,total,2011,total,population,34168
another county in the same province,70-74,total,2011,A Coruña,population,16583
another county in the same province,70-74,total,2011,Lugo,population,4853
another county in the same province,70-74,total,2011,Ourense,population,5447
another county in the same province,70-74,total,2011,Pontevedra,population,7284
another county in the same province,70-74,male,2001,total,population,14602
another county in the same province,70-74,male,2001,A Coruña,population,6847
another county in the same province,70-74,male,2001,Lugo,population,2328
another county in the same province,70-74,male,2001,Ourense,population,2524
another county in the same province,70-74,male,2001,Pontevedra,population,2903
another county in the same province,70-74,male,2011,total,population,15764
another county in the same province,70-74,male,2011,A Coruña,population,7608
another county in the same province,70-74,male,2011,Lugo,population,2094
another county in the same province,70-74,male,2011,Ourense,population,2534
another county in the same province,70-74,male,2011,Pontevedra,population,3529
another county in the same province,70-74,female,2001,total,population,18485
another county in the same province,70-74,female,2001,A Coruña,population,8811
another county in the same province,70-74,female,2001,Lugo,population,3232
another county in the same province,70-74,female,2001,Ourense,population,2907
another county in the same province,70-74,female,2001,Pontevedra,population,3535
another county in the same province,70-74,female,2011,total,population,18403
another county in the same province,70-74,female,2011,A Coruña,population,8975
another county in the same province,70-74,female,2011,Lugo,population,2760
another county in the same province,70-74,female,2011,Ourense,population,2913
another county in the same province,70-74,female,2011,Pontevedra,population,3755
another county in the same province,75-79,total,2001,total,population,24891
another county in the same province,75-79,total,2001,A Coruña,population,11252
another county in the same province,75-79,total,2001,Lugo,population,4689
another county in the same province,75-79,total,2001,Ourense,population,4318
another county in the same province,75-79,total,2001,Pontevedra,population,4632
another county in the same province,75-79,total,2011,total,population,37086
another county in the same province,75-79,total,2011,A Coruña,population,17472
another county in the same province,75-79,total,2011,Lugo,population,5672
another county in the same province,75-79,total,2011,Ourense,population,6328
another county in the same province,75-79,total,2011,Pontevedra,population,7614
